"ID","Area","Role","Route/Endpoint","Preconditions","Steps","Expected Result","Actual Result","Status","Severity","Evidence","Notes"
"PRE-001","Pre-UAT","Ops","https://staging.app.testifi.ai","None","Open staging frontend in a supported browser.","Frontend loads without DNS, certificate, or blank-screen errors.","","Not Run","Critical","",""
"PRE-002","Pre-UAT","Ops","GET /health; GET /api/health","Staging API available","Request both health endpoints.","Both return 200 OK with body OK.","","Not Run","Critical","",""
"PRE-003","Pre-UAT","Guest","POST /api/auth/login","Known test account exists","Submit valid credentials from /login and inspect network.","Login reaches staging API and returns access and refresh tokens.","","Not Run","Critical","",""
"PRE-004","Pre-UAT","User","/payment -> /checkout","Stripe staging keys configured","Open payment flow and confirm card mode expectations.","Staging accepts Stripe test cards and does not require live card use.","","Not Run","Critical","","Stripe success test card: 4242 4242 4242 4242; declined card: 4000 0000 0000 0002; use any future expiry, any CVC, any ZIP."
"PRE-005","Pre-UAT","Guest","/forgot-password","Test mailbox available","Request password reset for test mailbox.","Email delivery works or environment owner confirms email is disabled.","","Not Run","High","",""
"PRE-006","Pre-UAT","User","/create-summary","User has credits and a small valid file","Upload a tiny valid transcript.","Job is created and enters queued or processing state.","","Not Run","Critical","",""
"E2E-001","Happy Path","Guest","/register","Unique test email available","Register a new user, then sign in if redirected.","Registration succeeds and user can reach /dashboard.","","Not Run","Critical","",""
"E2E-002","Happy Path","User","/login; /dashboard; sidebar logout","Valid standard user exists","Login, verify dashboard/sidebar, test mobile nav, logout, reopen dashboard.","Login succeeds, mobile nav works, logout clears session, protected route redirects.","","Not Run","Critical","",""
"E2E-003","Happy Path","User","/payment; /checkout","User logged in; Stripe test mode available","Select package, enter billing details, submit successful card, verify credits.","Payment intent, Stripe confirmation, backend confirm, and credit balance all succeed.","","Not Run","Critical","","Use Stripe success test card 4242 4242 4242 4242 with any future expiry, any CVC, any ZIP."
"E2E-004","Happy Path","User","/checkout","User logged in; declined card available","Submit declined card, missing fields, then recover with valid card.","Errors are clear, no duplicate credits, user can recover.","","Not Run","High","","Use Stripe declined test card 4000 0000 0000 0002, then recover with success card 4242 4242 4242 4242."
"E2E-005","Happy Path","User","/create-summary","User has sufficient credits and valid file","Enter metadata, upload file, confirm init, signed PUT, and complete calls.","Upload completes, job appears on /summaries, notification dialog can be answered.","","Not Run","Critical","",""
"E2E-006","Happy Path","Low-credit user","/create-summary; /payment","User has insufficient credits","Submit missing fields, invalid file, then valid file with low credits.","Validation is clear; insufficient credits routes to /payment without creating job.","","Not Run","High","",""
"E2E-007","Happy Path","User","/summaries; /api/email-notifications","A summary job exists","Observe tabs/statuses, polling, refresh, and email notification toggle.","Status updates correctly; notification preference persists.","","Not Run","Critical","",""
"E2E-008","Happy Path","User","/preview/:id; /summaries/:id; /download/:id","Completed owned summary exists","Open preview modal, full preview, detail page, and download all formats.","Preview and downloads work; detail route failure is recorded if /api/summaries/view is missing.","","Not Run","Critical","",""
"E2E-009","Happy Path","User","/account/billing","Purchase and upload completed","Review balance, purchase history, usage ledger, filters, and export if present.","Billing reconciles with purchase and upload activity.","","Not Run","High","",""
"E2E-010","Happy Path","User/Admin","/support; /admin","Admin and standard user available","Submit support ticket, then admin changes status and replies.","Ticket is created, visible to admin, update persists, reply path works.","","Not Run","High","",""
"E2E-011","Happy Path","Admin","/admin; /admin/finetune","Admin account available","Open admin dashboard, metrics, support, fine-tune history, uploads, generate pairs.","Admin data loads; fine-tune actions succeed or fail with clear environment messages.","","Not Run","High","",""
"E2E-012","Happy Path","Any","Static and help routes","User and guest sessions available","Open help, legal, footer, security, demo, and 404 pages.","Pages render without runtime errors and copy/links are clear.","","Not Run","Medium","",""
"GUEST-001","Role","Guest","/login; /register; /forgot-password; /reset-password/:token; /terms; /privacy","Logged out browser","Open each public route.","All public routes render without authentication.","","Not Run","High","",""
"GUEST-002","Role","Guest","Protected frontend routes","Logged out browser","Open protected routes directly.","Protected routes redirect to /login.","","Not Run","Critical","",""
"GUEST-003","Role","Guest","/login","Logged out browser","Submit invalid credentials.","Clear error appears and no token is stored.","","Not Run","High","",""
"GUEST-004","Role","Guest","/forgot-password","Logged out browser","Submit valid and unknown emails.","Response is user-safe and does not leak account existence unless intended.","","Not Run","Medium","",""
"GUEST-005","Role","Guest","/reset-password/:token","Logged out browser","Submit invalid token and mismatched passwords.","Clear validation/error appears and user remains unauthenticated.","","Not Run","High","",""
"USER-001","Role","User","Protected app","Valid user logged in","Reload protected pages after login.","Session persists while token is valid.","","Not Run","High","",""
"USER-002","Role","User","Refresh token flow","Valid refresh token available","Force expired access token, then open protected route.","Access token refreshes or session redirects cleanly if refresh fails.","","Not Run","High","",""
"USER-003","Role","User","Sidebar/footer","Valid user logged in","Navigate all sidebar and footer links.","Each destination loads and active navigation is correct.","","Not Run","Medium","",""
"USER-004","Role","User","Core workflow","Valid user with credits","Complete purchase, upload, preview, download, billing, support.","Core customer workflow passes end to end.","","Not Run","Critical","",""
"USER-005","Role","User","Ownership-sensitive IDs","Approved cross-user test data exists","Try another user's summary, preview, download, status, and validation IDs.","Access is denied or a security defect is logged with evidence.","","Not Run","Critical","","Run only with approved staging data."
"ADMIN-001","Role","Admin","/admin","Admin user logged in","Open /admin and each visible tab.","Admin dashboard loads authorized data.","","Not Run","High","",""
"ADMIN-002","Role","Non-admin","/admin","Standard user logged in","Open /admin manually and observe API calls.","Sensitive backend data is blocked.","","Not Run","Critical","",""
"ADMIN-003","Role","Admin","/admin support dialog","Support ticket exists","Reply to ticket and change status.","Reply and status persist and email path is exercised.","","Not Run","High","",""
"ADMIN-004","Role","Admin","/admin/finetune","Admin user logged in","Open fine-tune page and load prompt/history.","Configured environments load; unconfigured environments fail clearly.","","Not Run","Medium","",""
"OPS-001","Ops/API","Ops","GET /health; GET /api/health","API reachable","Request both endpoints.","Both return 200 OK.","","Not Run","Critical","",""
"OPS-002","Ops/API","Ops","GET /api/emergency/job-status","API reachable","Request job-status endpoint.","Queued/processing jobs return safe fields only.","","Not Run","High","",""
"OPS-003","Ops/API","Ops","POST /api/emergency/reset-stuck-jobs","Approved staging window","Call reset endpoint once.","Processing jobs are set to queued and count is reported.","","Not Run","High","","Mutates staging job state."
"OPS-004","Ops/API","Ops","POST /api/purchase/stripe-webhook","Stripe CLI or dashboard access","Replay/send signed staging webhook event.","Signature verification and idempotent handling work.","","Not Run","Critical","",""
"OPS-005","Ops/API","Ops","GET /api/debug/*","Debug route config known","Request debug routes in staging.","Disabled returns 404; enabled returns non-secret diagnostic data.","","Not Run","Medium","",""
"FE-001","Frontend Route","Guest","/login","Logged out browser","Open route; submit valid and invalid credentials; test keyboard submit.","Valid login succeeds; invalid login shows clear error.","","Not Run","Critical","",""
"FE-002","Frontend Route","Guest","/register","Logged out browser","Open route; submit valid, duplicate, and invalid data.","Valid registration succeeds; invalid data shows validation/errors.","","Not Run","Critical","",""
"FE-003","Frontend Route","Guest","/forgot-password","Logged out browser","Submit valid and invalid emails; use back-to-login link.","Request path works and navigation is correct.","","Not Run","High","",""
"FE-004","Frontend Route","Guest","/reset-password/:token","Reset token available if possible","Submit valid token, invalid token, and mismatched passwords.","Reset succeeds for valid token and fails clearly for invalid input.","","Not Run","High","","Verify relative API path in staging."
"FE-005","Frontend Route","Guest","/terms","Logged out browser","Open route directly.","Terms page renders and is readable.","","Not Run","Medium","",""
"FE-006","Frontend Route","Guest","/privacy","Logged out browser","Open route directly.","Privacy page renders and is readable.","","Not Run","Medium","",""
"FE-007","Frontend Route","User","/","User logged in","Open root route.","Default landing shows summaries list; guest redirects to login.","","Not Run","High","",""
"FE-008","Frontend Route","User","/dashboard","User logged in","Verify summary stats, credits, quick actions, help/support links.","Dashboard data and actions render correctly.","","Not Run","High","",""
"FE-009","Frontend Route","User","/summaries","User logged in; summaries exist if possible","Check tabs, filters, CSV export, preview/download actions, empty states.","Summary list states and actions behave correctly.","","Not Run","Critical","",""
"FE-010","Frontend Route","User","/summaries/:id","Completed owned summary exists","Open detail route for valid, missing, and unknown IDs.","Detail loads or missing backend route is recorded as defect.","","Not Run","High","","Known risk: frontend calls /api/summaries/view."
"FE-011","Frontend Route","User","/preview/:id","Completed owned summary exists","Open preview, download from preview, use back/close behavior.","HTML preview and navigation work correctly.","","Not Run","High","",""
"FE-012","Frontend Route","User","/create-summary","User logged in","Submit required fields, drag/drop valid file, try invalid file and low credits.","Validation, upload, and purchase redirect paths work.","","Not Run","Critical","",""
"FE-013","Frontend Route","User","/download/:id","Completed owned summary exists","Download pdf, docx, txt, csv; test bad/missing job if possible.","Files download and open; errors are clear.","","Not Run","Critical","",""
"FE-014","Frontend Route","User","/payment","User logged in","Review plan cards, select package, verify returnTo preservation.","Plan selection navigates to checkout with correct package context.","","Not Run","Critical","",""
"FE-015","Frontend Route","User","/checkout","User logged in; Stripe available","Create/update payment intent; submit success and declined cards.","Payment success adds credits; declined card does not.","","Not Run","Critical","","Success card: 4242 4242 4242 4242; declined card: 4000 0000 0000 0002; use any future expiry, CVC, and ZIP."
"FE-016","Frontend Route","User","/account/billing","User logged in","Review balance, purchase history, usage ledger, filters, export.","Billing data is accurate and empty states are clear.","","Not Run","High","",""
"FE-017","Frontend Route","User","/automation","User logged in","Open route and interact with visible controls.","Coming-soon/static page renders without broken controls.","","Not Run","Low","",""
"FE-018","Frontend Route","User","/help","User logged in","Open page, use help cards and support link.","Help content and navigation work; webcopy failure does not break page.","","Not Run","Medium","",""
"FE-019","Frontend Route","User","/help/user-guide","User logged in","Open page, use back and support links.","Guide content and navigation work.","","Not Run","Medium","",""
"FE-020","Frontend Route","User","/help/keyboard-shortcuts","User logged in","Open page, use back link.","Shortcut content and navigation work.","","Not Run","Medium","",""
"FE-021","Frontend Route","User","/support","User logged in","Submit missing fields and valid ticket.","Validation and ticket creation work.","","Not Run","High","",""
"FE-022","Frontend Route","Admin","/admin","Admin and non-admin users available","Open as admin and non-admin.","Admin data loads only for authorized user.","","Not Run","Critical","",""
"FE-023","Frontend Route","Admin","/admin/finetune","Admin user logged in","Load prompt config/history, upload files, generate pairs if approved.","Fine-tune page handles success/errors clearly.","","Not Run","High","",""
"FE-024","Frontend Route","User","/success","User logged in","Open direct route and use return button.","Success page renders and routes to returnTo or root.","","Not Run","Low","",""
"FE-025","Frontend Route","User","/security-commitment","User logged in","Open route and use links.","Security content and links render correctly.","","Not Run","Medium","",""
"FE-026","Frontend Route","User","/case-preparation","User logged in","Open route and interact with demo controls.","Route renders without errors and is not misleading.","","Not Run","Low","",""
"FE-027","Frontend Route","User","/ai-insights","User logged in","Open route and interact with demo controls.","Route renders without errors and is not misleading.","","Not Run","Low","",""
"FE-028","Frontend Route","User","/collaboration","User logged in","Open route and interact with demo controls.","Route renders without errors and is not misleading.","","Not Run","Low","",""
"FE-029","Frontend Route","Any","* unknown path","Any browser state","Open /not-a-real-route and use Return to Home.","404 page renders and navigation works.","","Not Run","Medium","",""
"FE-030","Frontend Layout","User","Sidebar/footer","User logged in; mobile viewport available","Test desktop sidebar, mobile sidebar, logout, footer links, disclaimer, active state.","Layout interactions work across viewport sizes.","","Not Run","Medium","",""
"FE-031","Frontend Modal","User","Email notification dialog","Upload just completed","Open dialog from post-upload state; save and cancel preferences.","Preference saves/cancels cleanly for correct summary.","","Not Run","High","",""
"FE-032","Frontend Modal","User","Preview modal","Completed summary exists","Open preview modal, wait for load, close by Escape/back/click.","Modal loads, errors clearly, and closes correctly.","","Not Run","High","",""
"FE-033","Frontend Modal","Admin","Support ticket dialog","Support ticket exists","Open ticket detail, validate reply, submit reply, close dialog.","Dialog validates, submits, refreshes, and closes correctly.","","Not Run","Medium","",""
"API-CORE-001","Backend Endpoint","Ops","GET /health","API reachable","Request endpoint.","Returns 200 OK and body OK.","","Not Run","Critical","",""
"API-CORE-002","Backend Endpoint","Ops","GET /api/health","API reachable","Request endpoint.","Returns 200 OK and body OK.","","Not Run","Critical","",""
"API-CORE-003","Backend Endpoint","Ops","POST /api/test","API reachable","Post JSON body and malformed JSON body.","Valid JSON echoes body; malformed JSON returns 400 INVALID_JSON.","","Not Run","Medium","",""
"API-CORE-004","Backend Endpoint","Ops","POST /api/emergency/reset-stuck-jobs","Approved staging window","Call endpoint once.","Returns reset count or safe error.","","Not Run","High","","Mutates staging data."
"API-CORE-005","Backend Endpoint","Ops","GET /api/emergency/job-status","API reachable","Request endpoint.","Returns queued/processing jobs with expected safe fields.","","Not Run","High","",""
"API-CORE-006","Backend Endpoint","Ops","Unknown API path","API reachable","Request a nonexistent API route.","Returns 404 or configured not-found behavior without stack trace.","","Not Run","Medium","",""
"API-AUTH-001","Backend Endpoint","Guest","POST /api/auth/register","Unique and duplicate emails available","Submit valid, duplicate, and invalid registration bodies.","Valid body creates user; invalid cases return clear 4xx.","","Not Run","Critical","",""
"API-AUTH-002","Backend Endpoint","Guest","POST /api/auth/login","Known user exists","Submit valid and invalid credentials.","Valid credentials return tokens; invalid returns clear 4xx.","","Not Run","Critical","",""
"API-AUTH-003","Backend Endpoint","Guest","POST /api/auth/forgot-password","Test mailbox available","Submit valid and unknown emails.","Response is safe; email path works or is documented disabled.","","Not Run","High","",""
"API-AUTH-004","Backend Endpoint","Guest","POST /api/auth/reset-password","Reset token available","Submit valid token, invalid token, weak password.","Valid reset succeeds; invalid data fails clearly.","","Not Run","High","",""
"API-AUTH-005","Backend Endpoint","Guest","GET /api/auth/get-reset-email","Reset token available if possible","Request valid and invalid reset lookup.","Safe response for valid token; invalid token fails safely.","","Not Run","Medium","",""
"API-AUTH-006","Backend Endpoint","Guest","POST /api/auth/refresh-token","Refresh token available","Submit valid, invalid, and expired refresh tokens.","Valid token returns new access token; invalid token fails.","","Not Run","High","",""
"API-USER-001","Backend Endpoint","User","GET /api/user","Valid user token","Request with valid, missing, and invalid token.","Valid token returns profile/role/credits; auth failures deny data.","","Not Run","High","",""
"API-USER-002","Backend Endpoint","User","GET /api/user/credits","Valid user token","Request endpoint.","Returns numeric credit balance matching UI.","","Not Run","High","",""
"API-USER-003","Backend Endpoint","Admin","GET /api/user/signups","Admin and non-admin tokens","Request as admin and standard user.","Admin lists signups; standard user is denied.","","Not Run","High","",""
"API-BILL-001","Backend Endpoint","User","GET /api/billing/balance","Valid user token","Request endpoint.","Returns effective credit balance matching UI.","","Not Run","High","",""
"API-BILL-002","Backend Endpoint","User","GET /api/billing/history","Valid user token","Request with type/from/to/cursor filters.","Returns paginated ledger filtered correctly.","","Not Run","Medium","",""
"API-BILL-003","Backend Endpoint","User","GET /api/billing/history Accept: text/csv","Valid user token","Request with Accept text/csv.","Returns parseable CSV export.","","Not Run","Medium","",""
"API-BILL-004","Backend Endpoint","User","POST /api/billing/debit","Valid user token; summary context","Submit valid debit and insufficient-credit debit.","Valid debit succeeds; insufficient credits return 400 or 402.","","Not Run","High","",""
"API-PAY-001","Backend Endpoint","User","POST /api/purchase/purchase-credits","Valid user token","Submit valid amount/credits and missing fields.","Valid body returns PaymentIntent/client secret; missing fields fail.","","Not Run","Critical","",""
"API-PAY-002","Backend Endpoint","User","POST /api/purchase/update-payment-intent","PaymentIntent exists","Update owned intent, missing intent, and foreign intent if approved.","Owned update succeeds; invalid/foreign update fails.","","Not Run","High","",""
"API-PAY-003","Backend Endpoint","User","POST /api/purchase/confirm","Confirmed PaymentIntent exists","Confirm once and replay confirm.","Credits are added once and replay is safe.","","Not Run","Critical","","Create the PaymentIntent through checkout with success card 4242 4242 4242 4242 before confirming."
"API-PAY-004","Backend Endpoint","Admin","GET /api/purchase/history","Admin and standard tokens","Request as admin and standard user.","Admin lists purchases; standard user is denied.","","Not Run","High","",""
"API-PAY-005","Backend Endpoint","User","GET /api/purchase/user-history","Valid user token","Request endpoint after purchase.","Returns current user's purchase history matching billing UI.","","Not Run","High","",""
"API-PAY-006","Backend Endpoint","Stripe/Ops","POST /api/purchase/stripe-webhook","Stripe signed staging event","Send valid signed event, bad signature, and replay.","Valid succeeds; bad signature fails; replay is idempotent.","","Not Run","Critical","",""
"API-UPLOAD-001","Backend Endpoint","User","POST /api/upload","Valid user token and multipart file","Submit valid, invalid, and missing file multipart bodies.","Valid upload creates job; invalid cases fail clearly.","","Not Run","High","","Legacy streaming path."
"API-UPLOAD-002","Backend Endpoint","User","POST /api/upload/init","Valid user token and credits","Submit valid fileName/contentType and invalid/missing fields.","Valid body reserves credits and returns signed upload details.","","Not Run","Critical","",""
